index;BIN;PROB
0;1,000;0,001
1;2,000;0,001
2;3,000;0,002
3;4,000;0,002
4;5,000;0,002
5;6,000;0,003
6;7,000;0,004
7;8,000;0,004
8;9,000;0,004
9;10,000;0,005
10;11,000;0,005
11;12,000;0,006
12;13,000;0,007
13;14,000;0,007
14;15,000;0,008
15;16,000;0,009
16;17,000;0,009
17;18,000;0,011
18;19,000;0,011
19;20,000;0,013
20;21,000;0,013
21;22,000;0,014
22;23,000;0,015
23;24,000;0,016
24;25,000;0,017
25;26,000;0,018
26;27,000;0,019
27;28,000;0,020
28;29,000;0,021
29;30,000;0,023
30;31,000;0,024
31;32,000;0,025
32;33,000;0,027
33;34,000;0,027
34;35,000;0,029
35;36,000;0,030
36;37,000;0,031
37;38,000;0,033
38;39,000;0,035
39;40,000;0,037
40;41,000;0,038
41;42,000;0,040
42;43,000;0,041
43;44,000;0,043
44;45,000;0,044
45;46,000;0,047
46;47,000;0,049
47;48,000;0,050
48;49,000;0,052
49;50,000;0,054
50;51,000;0,056
51;52,000;0,058
52;53,000;0,061
53;54,000;0,063
54;55,000;0,065
55;56,000;0,067
56;57,000;0,069
57;58,000;0,072
58;59,000;0,074
59;60,000;0,076
60;61,000;0,079
61;62,000;0,082
62;63,000;0,086
63;64,000;0,088
64;65,000;0,091
65;66,000;0,094
66;67,000;0,098
67;68,000;0,100
68;69,000;0,103
69;70,000;0,106
70;71,000;0,110
71;72,000;0,114
72;73,000;0,117
73;74,000;0,121
74;75,000;0,125
75;76,000;0,129
76;77,000;0,133
77;78,000;0,138
78;79,000;0,143
79;80,000;0,147
80;81,000;0,152
81;82,000;0,158
82;83,000;0,164
83;84,000;0,170
84;85,000;0,175
85;86,000;0,183
86;87,000;0,191
87;88,000;0,199
88;89,000;0,208
89;90,000;0,218
90;91,000;0,231
91;92,000;0,243
92;93,000;0,269
93;94,000;0,289
94;95,000;0,307
95;96,000;0,331
96;97,000;0,355
97;98,000;0,390
98;99,000;0,437
99;100,000;0,500
100;101,000;0,549
101;102,000;0,582
102;103,000;0,610
103;104,000;0,633
104;105,000;0,653
105;106,000;0,669
106;107,000;0,685
107;108,000;0,699
108;109,000;0,714
109;110,000;0,725
110;111,000;0,739
111;112,000;0,750
112;113,000;0,761
113;114,000;0,772
114;115,000;0,783
115;116,000;0,793
116;117,000;0,802
117;118,000;0,812
118;119,000;0,820
119;120,000;0,828
120;121,000;0,836
121;122,000;0,844
122;123,000;0,851
123;124,000;0,860
124;125,000;0,867
125;126,000;0,873
126;127,000;0,880
127;128,000;0,886
128;129,000;0,893
129;130,000;0,898
130;131,000;0,903
131;132,000;0,908
132;133,000;0,913
133;134,000;0,918
134;135,000;0,923
135;136,000;0,927
136;137,000;0,931
137;138,000;0,934
138;139,000;0,938
139;140,000;0,941
140;141,000;0,945
141;142,000;0,948
142;143,000;0,951
143;144,000;0,954
144;145,000;0,957
145;146,000;0,960
146;147,000;0,962
147;148,000;0,966
148;149,000;0,968
149;150,000;0,970
150;151,000;0,972
151;152,000;0,973
152;153,000;0,975
153;154,000;0,977
154;155,000;0,978
155;156,000;0,980
156;157,000;0,981
157;158,000;0,983
158;159,000;0,984
159;160,000;0,985
160;161,000;0,986
161;162,000;0,987
162;163,000;0,988
163;164,000;0,989
164;165,000;0,990
165;166,000;0,991
166;167,000;0,991
167;168,000;0,992
168;169,000;0,993
169;170,000;0,994
170;171,000;0,994
171;172,000;0,995
172;173,000;0,995
173;174,000;0,996
174;175,000;0,996
175;176,000;0,996
176;177,000;0,997
177;178,000;0,997
178;179,000;0,997
179;180,000;0,998
180;181,000;0,998
181;182,000;0,998
182;183,000;0,998
183;184,000;0,999
184;185,000;0,999
185;186,000;0,999
186;187,000;0,999
187;188,000;0,999
188;189,000;0,999
189;190,000;1,000
190;191,000;1,000
191;192,000;1,000
192;193,000;1,000
193;194,000;1,000
194;195,000;1,000
195;196,000;1,000
196;197,000;1,000
197;198,000;1,000
198;199,000;1,000
