index;BIN;alcalahenares_nomaps_timeALL_taz5-taz50XS_incident3_01;alcalahenares_TWM_timeALL_taz5-taz50XS_incident3x1_logit50-join_01
0;0;0,000;0,000
1;200;0,000;0,000
2;400;38,000;150,000
3;600;56,000;60,000
4;800;43,000;43,000
5;1000;17,000;19,000
6;1200;10,000;12,000
7;1400;2,000;6,000
8;1600;0,000;3,000
9;1800;0,000;19,000
10;2000;2,000;12,000
11;2200;18,000;17,000
12;2400;34,000;25,000
13;2600;35,000;30,000
14;2800;27,000;19,000
15;3000;44,000;21,000
16;3200;44,000;10,000
17;3400;50,000;20,000
18;3600;47,000;17,000
19;3800;20,000;13,000
20;4000;9,000;3,000
21;4200;3,000;1,000
22;4400;1,000;0,000
23;4600;0,000;0,000
24;4800;0,000;0,000
25;5000;0,000;0,000
26;5200;0,000;0,000
27;5400;0,000;0,000
28;5600;0,000;0,000
29;5800;0,000;0,000
30;6000;0,000;0,000
31;6200;0,000;0,000
32;6400;0,000;0,000
33;6600;0,000;0,000
34;6800;0,000;0,000
35;7000;0,000;0,000
36;7200;0,000;0,000
37;7400;0,000;0,000
38;7600;0,000;0,000
39;7800;0,000;0,000
40;8000;0,000;0,000
41;8200;0,000;0,000
