index;BIN;alcalahenares_3L3h_nomaps_timeALL_taz5-taz50_01;alcalahenares_XL_mutraff_tele60_uni5x16_timeALL_fulltraffic_logit20
0;0;1675,000;1724,000
1;200;3675,000;3799,000
2;400;1314,000;1418,000
3;600;919,000;866,000
4;800;595,000;641,000
5;1000;522,000;575,000
6;1200;461,000;472,000
7;1400;478,000;436,000
8;1600;391,000;429,000
9;1800;371,000;464,000
10;2000;392,000;393,000
11;2200;410,000;371,000
12;2400;383,000;397,000
13;2600;391,000;414,000
14;2800;421,000;451,000
15;3000;325,000;430,000
16;3200;332,000;393,000
17;3400;394,000;358,000
18;3600;330,000;332,000
19;3800;285,000;280,000
20;4000;253,000;277,000
21;4200;379,000;273,000
22;4400;311,000;354,000
23;4600;291,000;229,000
24;4800;253,000;219,000
25;5000;233,000;190,000
26;5200;246,000;181,000
27;5400;207,000;180,000
28;5600;171,000;162,000
29;5800;154,000;180,000
30;6000;166,000;137,000
31;6200;162,000;111,000
32;6400;138,000;93,000
33;6600;75,000;53,000
34;6800;67,000;51,000
35;7000;49,000;36,000
36;7200;42,000;234,000
37;7400;182,000;269,000
38;7600;260,000;192,000
39;7800;160,000;2,000
40;8000;31,000;1,000
41;8200;1,000;0,000
